index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Cecil B. Demented,Inside Deep Throat,Harrison Montgomery,Incident at Loch Ness,My Lucky Star,Girl 6,Tropic Thunder,Tango,Smilla's Sense of Snow,A Beginner's Guide to Snuff,The Poker House
Killer Joe,Igby Goes Down,The Final Destination,On the Outs,Get Rich or Die Tryin',Alone With Her,The Rules of Attraction,Jesus' Son,Super,Easy Money,You Kill Me
The Joneses,National Lampoon's Vacation,Fled,Blue Like Jazz,When the Lights Went Out,The Hundred-Foot Journey,The Giver,No Strings Attached,Paranormal Activity 4,The Whole Nine Yards,Decoys
Owning Mahowny,Passchendaele,Old Dogs,The Informant!,Inside Man,The Long Riders,Never Back Down 2: The Beatdown,UHF,Birthday Girl,Margin Call,This Thing of Ours
The Brothers Solomon,When Did You Last See Your Father?,Cinderella Man,Ghost Rider,The Full Monty,Magnolia,Supercross,Shotgun Stories,Trapeze,He Got Game,The Place Beyond the Pines
My Blueberry Nights,The Descendants,Bathory: Countess of Blood,Just Like Heaven,Doc Holliday's Revenge,Fruitvale Station,Pirates of the Caribbean: At World's End,Khiladi 786,Born to Fly: Elizabeth Streb vs. Gravity,Elizabeth: The Golden Age,Elizabeth
Illuminata,All That Jazz,Mrs Henderson Presents,Midnight Cabaret,The Grand Budapest Hotel,Scream 2,Moulin Rouge!,Chairman of the Board,The Love Letter,Warlock,Highlander: The Final Dimension
Swept Away,Never Again,Heartbeeps,Bandits,Return to the Blue Lagoon,Moonrise Kingdom,There's Something About Mary,Cliffhanger,Vaalu,Love Actually,"Me, Myself & Irene"
"War, Inc.",Deterrence,Machete Kills,Escape from New York,Absolute Power,Invasion U.S.A.,The Contender,Deep Impact,Pitch Perfect 2,The Spanish Prisoner,Shadow Conspiracy
The Brown Bunny,Karachi se Lahore,The Helpers,Rush,The Naked Ape,Joy Ride,Road Trip,Cars 2,Clay Pigeons,The Lucky Ones,Y Tu Mamá También
Rosewater,Persepolis,The Poker House,Quartet,Kill Bill: Vol. 2,Jindabyne,The Front Page,In Too Deep,Let's Kill Ward's Wife,Dinosaur,Seed of Chucky
Coriolanus,Quo Vadis,The Lizzie McGuire Movie,Harriet the Spy,The Great Beauty,The Fall of the Roman Empire,To Rome with Love,Four Single Fathers,Four Brothers,A Most Violent Year,Green Lantern
Imaginary Heroes,The Rundown,Here Comes the Boom,Circumstance,Echo Dr.,Morvern Callar,Inside Llewyn Davis,Kiss the Bride,Take Me Home Tonight,A History of Violence,High School Musical
High Heels and Low Lifes,Cellular,Checkmate,This Thing of Ours,Buried,Closer to the Moon,Bandits,The Long Riders,No Man's Land: The Rise of Reeker,No Country for Old Men,The Newton Boys
World's Greatest Dad,Zero Effect,Here Comes the Boom,Garfield,Notes on a Scandal,How to Deal,Election,Freedom Writers,You Again,The DUFF,Clueless
Edmond,R100,Identity Thief,Central Intelligence,Daddy's Home,Death Sentence,Date Night,Love Happens,Superman,Catwoman,Do the Right Thing
Welcome to the Rileys,Multiplicity,The Hangover,The Town,LOL,My Last Day Without You,The Party's Over,Drive Angry,A Streetcar Named Desire,The Limey,Inside Out
Police Academy: Mission to Moscow,Kung Fu Jungle,Analyze That,Hackers,Police Academy,Taxman,Sleeper,The Saint,Black Rain,Street Kings,2001: A Space Odyssey
Blood Done Sign My Name,Hachi: A Dog's Tale,Election,Notes on a Scandal,Dead Man Walking,City By The Sea,Coach Carter,Flash of Genius,God's Not Dead 2,The 33,Find Me Guilty
Cinco de Mayo: La Batalla,Anaconda,Ex Machina,Desert Blue,One Man's Hero,Hands of Stone,A Fistful of Dollars,300,We Were Soldiers,Battle: Los Angeles,Operation Chromite
Elsa & Fred,The Flintstones in Viva Rock Vegas,Subway,The Triplets of Belleville,The Blue Butterfly,The Rainmaker,High Noon,Harry Brown,Quo Vadis,Frozen,Indiana Jones and the Last Crusade
"An Alan Smithee Film: Burn, Hollywood, Burn",The Adventures of Pinocchio,Payback,Against the Wild,The Loss of Sexual Innocence,Faith Connections,The Woman Chaser,Tropic Thunder,Inside Deep Throat,The Stewardesses,Mary Poppins
The Open Road,There Be Dragons,42,The Judge,Bad Words,The Helpers,The Wolfman,Karachi se Lahore,The Lucky Ones,Biutiful,Frailty
The Good Guy,Wall Street: Money Never Sleeps,The Lucky One,"I Love You, Beth Cooper",Madea's Witness Protection,The Wolf of Wall Street,A Mighty Heart,Adam,Ordinary People,Crazy/Beautiful,Tower Heist
Motherhood,The Tourist,Redacted,Anchorman 2: The Legend Continues,The Brothers McMullen,Dark Water,Childless,Raising Helen,Keeping the Faith,Pocketful of Miracles,Vamps
Free Style,White House Down,Dreamer: Inspired By a True Story,Don't Be Afraid of the Dark,A Haunted House 2,Why Did I Get Married Too?,Alvin and the Chipmunks: The Road Chip,Days of Heaven,Rodeo Girl,My Super Ex-Girlfriend,Happy Gilmore
Strangerland,Swelter,Rubber,The Girl Next Door,Escape from the Planet of the Apes,Dead Man's Shoes,Carousel of Revenge,Rebecca,Left Behind,Red River,Without Men
Janky Promoters,Layer Cake,Jawbreaker,Glee: The Concert Movie,Nothing to Lose,Masked and Anonymous,Someone Like You...,Timecop,Open Water,Who's Your Caddy?,You've Got Mail
Blonde Ambition,In the Company of Men,Derailed,Touching the Void,Salvation Boulevard,Mad Max Beyond Thunderdome,Solitary Man,Romeo Is Bleeding,Brick Lane,Chairman of the Board,My Last Day Without You
The Oxford Murders,Frailty,Sea of Love,Madadayo,Loser,Max Payne,Creature,True Lies,The Man with the Golden Gun,Zookeeper,Good Will Hunting
The Reef,The Shallows,Bait,Jaws,Jaws: The Revenge,Shark Tale,Moby Dick,The Adventures of Sharkboy and Lavagirl,Finding Nemo,Little Nicholas,Love in the Time of Cholera
Eulogy,The Out-of-Towners,8 Women,The Work and the Glory,Keeping Up with the Steins,Love the Coopers,Death at a Funeral,The Master of Disguise,The Flower of Evil,City Island,Four Single Fathers
White Noise 2: The Light,The Bridge of San Luis Rey,Jack Reacher,Sublime,The Trouble with Harry,Max,Ransom,Swing Vote,The Green Mile,Mad Max,Thr3e
Beat the World,Battle of the Year,Without Men,Bananas,Requiem for a Dream,The FP,Higher Ground,High Crimes,The Juror,The City of Your Final Destination,Best in Show
Fifty Dead Men Walking,The Crying Game,Flags of Our Fathers,The Wind That Shakes the Barley,Patriot Games,Where the Wild Things Are,Malevolence,Black Mass,School Daze,The Jackal,Funny People
Jungle Shuffle,Arachnophobia,The Monkey King 2,Shanghai Noon,The Virgin Suicides,George of the Jungle,The Legend of Tarzan,The Hunchback of Notre Dame,The Forbidden Kingdom,47 Ronin,Spider-Man 3
Adam Resurrected,Cavite,Darling Companion,"I, Frankenstein",Screwed,Good Boy!,Three,Dick,Adam,Wendy and Lucy,Benji
The Devil's Tomb,DragonHeart,Percy Jackson: Sea of Monsters,Harry Potter and the Prisoner of Azkaban,Goldfinger,The Incredible Hulk,Pocahontas,Jack the Giant Slayer,Yoga Hosers,Warlock: The Armageddon,Caravans
Partition,Slow West,Hard Candy,Mirrormask,The Indian in the Cupboard,Winter's Bone,Horse Camp,Idle Hands,Spirited Away,Eye for an Eye,Bad Grandpa
Good Intentions,Blood and Wine,Prisoners,Darling Companion,The Gift,The Betrayed,I Can Do Bad All By Myself,Criminal Activities,"Sex, Lies, and Videotape",Madea's Witness Protection,The Infiltrator
Nurse 3-D,Half Nelson,I Love You Phillip Morris,Krush Groove,The Gambler,Up,The Boys from Brazil,The Assassin,Ghostbusters,Minority Report,The Blue Bird
Gunless,The Wash,The Hateful Eight,The Timber,Midnight Run,Running Scared,Déjà Vu,Justin Bieber: Never Say Never,Hang 'em High,Happy Feet Two,The Devil's Rejects
Adventureland,The Way Way Back,Black Knight,Carousel of Revenge,Scooby-Doo,Post Grad,Beverly Hills Cop III,The Giver,The In Crowd,Jurassic World,Diary of a Wimpy Kid: Dog Days
The Lost City,Porky's,She Done Him Wrong,We Own the Night,Sleeper,Galaxy Quest,Kundun,Raiders of the Lost Ark,The Adventures of Pluto Nash,A Better Life,Herbie Fully Loaded
Next Friday,Friday,Friday After Next,Boyz n the Hood,The Big Tease,Being John Malkovich,Remember Me,Submarine,Malibu's Most Wanted,The Man from Snowy River,Rugrats in Paris: The Movie
American Heist,Small Time Crooks,The Long Riders,The Town,Bad Teacher,Larry Crowne,Inside Man,The Newton Boys,A Fistful of Dollars,Paranormal Activity,The Funeral
You Only Live Twice,Octopussy,Diamonds Are Forever,Never Say Never Again,On Her Majesty's Secret Service,Live and Let Die,GoldenEye,Dr. No,The Spy Who Loved Me,From Russia with Love,Moonraker
Plastic,St. Trinian's,"Lock, Stock and Two Smoking Barrels",Bound,Man on a Ledge,I Am Sam,Blue Streak,The Perfect Host,The Avengers,Triple 9,The Marine
Amour,Anne of Green Gables,Poltergeist III,Blue Crush,The Flower of Evil,Song One,Newlyweds,The Other Boleyn Girl,Bandslam,The Others,LOL
Poltergeist III,Anne of Green Gables,Amour,Poltergeist,Don't Be Afraid of the Dark,Elling,The Invasion,Blue Crush,The Flower of Evil,Where the Wild Things Are,An American Carol
Re-Kill,Pride and Prejudice and Zombies,Navy Seals vs. Zombies,The Painted Veil,Night of the Living Dead,The Walking Deceased,Quarantine,Resident Evil: Retribution,September Dawn,Boynton Beach Club,Burn
"It's a Mad, Mad, Mad, Mad World",90 Minutes in Heaven,The Final Destination,The 5th Quarter,Seven Pounds,Cube,Without Limits,Ararat,Before Sunset,Nine Dead,Rubber
Volver,Sense and Sensibility,The Upside of Anger,Lovely & Amazing,Inescapable,Pride & Prejudice,In the Land of Women,"Me, Myself & Irene",Judgment at Nuremberg,Lady in White,Confessions of a Teenage Drama Queen
Heavy Metal,The Ten,Harriet the Spy,Nim's Island,Juno,There Be Dragons,Guardians of the Galaxy,Don't Be Afraid of the Dark,CJ7,The Lunchbox,The Possession
Gentlemen Broncos,Eyes Wide Shut,The Lunchbox,Cedar Rapids,Percy Jackson & the Olympians: The Lightning Thief,Heavy Metal,The Wave,Bamboozled,Hope Springs,Paul Blart: Mall Cop 2,To Write Love on Her Arms
Richard III,Henry V,The Tempest,Shakespeare in Love,Anonymous,Romeo + Juliet,O,Get Over It,My Own Private Idaho,Cradle Will Rock,The Heart of Me
Into the Grizzly Maze,Ted,Blue Ruin,The Orphanage,The Business of Fancydancing,This Is Where I Leave You,Valentine,There's Always Woodstock,The Timber,Mercy Streets,Black Christmas
Kites,Femme Fatale,Cyrus,Flywheel,Mad Max: Fury Road,The Devil's Double,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,After.Life,Holy Motors,Chasing Mavericks,Next Stop Wonderland
Melancholia,A Million Ways to Die in the West,Star Trek Beyond,The Virgin Suicides,Space Battleship Yamato,Topsy-Turvy,Armageddon,Fantastic 4: Rise of the Silver Surfer,"New York, New York",The Wild Thornberrys Movie,Flash Gordon
Red Dog,Dumb and Dumber To,Inkheart,Crocodile Dundee II,Mad Max 2: The Road Warrior,Hachi: A Dog's Tale,The Lost Medallion: The Adventures of Billy Stone,Darling Companion,The Ridiculous 6,The Majestic,Ed Wood
Jab Tak Hai Jaan,Autumn in New York,Coyote Ugly,Dangerous Liaisons,The American,The Age of Adaline,Happy Christmas,Frenzy,The Rules of Attraction,An Education,Partition
Alien,Joe,Meet Dave,Star Trek: Insurrection,Journey to Saturn,Star Trek IV: The Voyage Home,Aliens,The Hitchhiker's Guide to the Galaxy,Space Pirate Captain Harlock,The Martian,Supernova
The Texas Chain Saw Massacre,Chain Letter,Beerfest,The Amityville Horror,The Call of Cthulhu,Arthur and the Invisibles,This Is the End,Disturbia,Tales from the Crypt: Demon Knight,Midnight in the Garden of Good and Evil,Brighton Rock
The Runaways,L!fe Happens,The Last Time I Committed Suicide,Beverly Hills Cop III,Fast Times at Ridgemont High,Poltergeist,The Last Song,Snakes on a Plane,Hands of Stone,Mommie Dearest,Blue Like Jazz
Fiddler on the Roof,In & Out,A Farewell to Arms,Scott Pilgrim vs. the World,Cries and Whispers,Death Calls,Notting Hill,The Naked Gun 33⅓: The Final Insult,Hedwig and the Angry Inch,Life or Something Like It,Days of Heaven
Thunderball,Spectre,GoldenEye,The Man with the Golden Gun,Diamonds Are Forever,Octopussy,Never Say Never Again,The Living Daylights,You Only Live Twice,Hackers,From Russia with Love
Detention,Detention of the Dead,UnDivided,Girls Gone Dead,Bachelorette,Friday the 13th Part III,Pulse,Charlie Bartlett,Dying of the Light,21 Jump Street,Radio
Set It Off,For Colored Girls,The Homesman,The Flowers of War,Two Girls and a Guy,What Women Want,The Land Girls,Bathing Beauty,A Night at the Roxbury,Frenzy,The Circle
The Best Man,Laws of Attraction,Please Give,The Extra Man,How to Be Single,Alvin and the Chipmunks: The Road Chip,Coyote Ugly,Reign Over Me,A Mighty Wind,Mutual Friends,Dead Man Down
Child's Play,Child's Play 2,Copycat,My Soul to Take,Switchback,Eye of the Beholder,The Howling,The Cell,Riding in Cars with Boys,Blood Work,2:13
Sicko,Fahrenheit 9/11,Slacker Uprising,Critical Care,Larry the Cable Guy: Health Inspector,Invasion U.S.A.,Roger & Me,One True Thing,Lake of Fire,Capitalism: A Love Story,Funny People
The Purge: Anarchy,The Poker House,Ramona and Beezus,The Hours,House of Wax,The Ten,Seventh Son,Left Behind,Demonic,The Day the Earth Stood Still,Exiled
Down to You,Bucky Larson: Born to Be a Star,Laws of Attraction,No Reservations,The Exploding Girl,Albino Alligator,Mutual Friends,A Most Violent Year,Failure to Launch,TMNT,Please Give
Harold & Kumar Go to White Castle,A Very Harold & Kumar Christmas,Harold & Kumar Escape from Guantanamo Bay,Clerks II,The Jimmy Show,Tim and Eric's Billion Dollar Movie,Stranger Than Fiction,17 Again,Joy Ride,The Transporter Refueled,No End in Sight
The Contender,Prisoners,In Her Line of Fire,Absolute Power,"War, Inc.",Reservoir Dogs,The Algerian,The Quiet American,Absentia,Looney Tunes: Back in Action,Wag the Dog
Boiler Room,Criminal Activities,Repo Man,Secretary,Bad Teacher,Trees Lounge,Shanghai Surprise,Larry Crowne,The Wendell Baker Story,Antitrust,Dirty Grandpa
Trading Places,The Opposite Sex,Around the World in 80 Days,My Fair Lady,A Funny Thing Happened on the Way to the Forum,Bridget Jones's Diary,Airlift,Money Monster,Horrible Bosses 2,Factory Girl,Not Another Teen Movie
Black Christmas,Neighbors 2: Sorority Rising,Krampus,Freaky Deaky,A Charlie Brown Christmas,Sorority Row,Christmas Eve,Arthur Christmas,Diary of the Dead,The Nutcracker: The Untold Story,Bad Santa
Breakin' All the Rules,The Ten,Moonlight Mile,Tin Can Man,Mallrats,The Prince of Tides,Mercy Streets,The Spanish Prisoner,Nim's Island,Stranger Than Fiction,1982
Henry V,Richard III,The Tempest,Romeo + Juliet,Shakespeare in Love,Anonymous,Braveheart,Dragonslayer,The King's Speech,Underworld: Rise of the Lycans,O
The Savages,Secretariat,In the Land of Women,Critical Care,Blue Jasmine,Song One,Wish I Was Here,What's Eating Gilbert Grape,The Crime of Padre Amaro,Zathura: A Space Adventure,Fight Valley
Chasing Papi,Project X,The Brothers,Mean Streets,I Love Your Work,Gun Shy,Brooklyn,Death Becomes Her,Bottle Rocket,The Sea Inside,Ca$h
The Way of the Gun,Jesus' Son,Made,The Constant Gardener,Drillbit Taylor,Harsh Times,Stealing Harvard,Brazil,Albino Alligator,Tower Heist,Kiss Kiss Bang Bang
Igby Goes Down,Killer Joe,The Final Destination,Alone With Her,Metropolitan,Ong Bak 2,Mulholland Drive,Beginners,Mooz-lum,200 Cigarettes,Unbreakable
PCU,The Spectacular Now,Sex Drive,The New Guy,Project X,Nerve,Light It Up,College,Here Comes the Boom,American Pie,Election
The Ultimate Gift,All Superheroes Must Die,Friday the 13th Part VI: Jason Lives,Dirty Grandpa,Jason Goes to Hell: The Final Friday,Big Fat Liar,Friday the 13th Part VIII: Jason Takes Manhattan,Only the Strong,Sense and Sensibility,Friday the 13th: The Final Chapter,Masked and Anonymous
The Ice Pirates,Stargate: The Ark of Truth,Star Wars: Episode III - Revenge of the Sith,Lost in Space,The Hitchhiker's Guide to the Galaxy,A Scanner Darkly,Cloud Atlas,Star Trek IV: The Voyage Home,Star Wars: Clone Wars: Volume 1,Star Trek: First Contact,Tank Girl
Gracie,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Shaolin Soccer,Bella,Miss Congeniality,Playing for Keeps,The Game of Their Lives,Bend It Like Beckham,Vera Drake,Stoker,House Party 2
Trust the Man,The Roommate,Daddy Day Care,The Last Five Years,Videodrome,Supporting Characters,Chronicle,Entrapment,Lights Out,The Pallbearer,From Here to Eternity
Hamlet 2,Won't Back Down,Class of 1984,Here Comes the Boom,Welcome to Collinwood,Waiting for Guffman,Get Rich or Die Tryin',Menace II Society,Hoop Dreams,Malibu's Most Wanted,When the Game Stands Tall
Velvet Goldmine,Stuart Little 2,Abduction,The Pelican Brief,Minions,Misconduct,Get on Up,Shooting Fish,Arthur and the Invisibles,Safe House,The Conspirator
Glee: The Concert Movie,Masked and Anonymous,Janky Promoters,Kevin Hart: Let Me Explain,Detroit Rock City,The Ten,Cirque du Soleil: Worlds Away,Trekkies,Brokeback Mountain,Woodstock,Crowsnest
Barbecue,American Beauty,In Too Deep,Something's Gotta Give,"Good bye, Lenin!",The Words,Swing Vote,Swingers,Smokin' Aces,Mr. 3000,Heartbreakers
All or Nothing,The Fifth Element,Taxi Driver,Race to Witch Mountain,Family Plot,Taxi to the Dark Side,Pulp Fiction,Morvern Callar,Date Night,The Amazing Catfish,Unforgiven
Princess Kaiulani,Pandaemonium,The Love Letter,Steamboy,The Age of Innocence,Curse of the Golden Flower,The Princess Diaries,Braveheart,The Time Machine,The Princess Diaries 2: Royal Engagement,Black Knight
Opal Dream,Somewhere,Madadayo,Tumbleweeds,Boyhood,Goosebumps,Nothing,Deconstructing Harry,Nowhere Boy,The Curious Case of Benjamin Button,The Rise of the Krays
Undiscovered,Skyline,Predator 2,Volcano,The Neon Demon,Water & Power,The Black Dahlia,Escape from L.A.,Crash,Friday,The Soloist
Red Riding: In the Year of Our Lord 1974,Eddie the Eagle,The Broadway Melody,The Color of Money,Barry Lyndon,The Cry of the Owl,Snow White: A Deadly Summer,Tusk,The Scorpion King,Let Me In,"Hail, Caesar!"
Veronika Decides to Die,Premonition,Backmask,Man on a Ledge,K-PAX,The Night Visitor,Dressed to Kill,Ordinary People,Godsend,Jennifer's Body,Some Guy Who Kills People
Crocodile Dundee,Crocodile Dundee II,Crocodile Dundee in Los Angeles,Match Point,Major Dundee,Red Dog,Friday the 13th Part VIII: Jason Takes Manhattan,My Fair Lady,The Crocodile Hunter: Collision Course,The Age of Innocence,Mad Max 2: The Road Warrior
"Ultramarines: A Warhammer 40,000 Movie",Letters from Iwo Jima,Operation Chromite,When Harry Met Sally...,Mulan,Teeth,America Is Still the Place,The Act of Killing,Ronin,Suicide Squad,City of Life and Death
The I Inside,Videodrome,Larry the Cable Guy: Health Inspector,Plush,Simon Birch,A Guy Thing,Spellbound,The Singing Detective,Alex Cross,Peggy Sue Got Married,The House of Sand
Beneath Hill 60,Killer Elite,Catwoman,The 33,Quigley Down Under,2001: A Space Odyssey,Show Me,The Hurt Locker,Independence Day: Resurgence,A Lonely Place to Die,Stuart Little 2
